Lime question,-----current variable name,variable,dummyVariable,variableType,method,target,databaseStart,variableStart,variableStartType,catValues,numValidCat,catLabel,catLabelLong,units,low,high,From,interval,catStartLabel,reference,variableStartShortLabel,variableStartLabel,Notes
,ActiveCancer_cat,CCC_131,CCC_131_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_131, cchs-82M0013-E-2003-c2-1-General File::CCCC_131,  cchs-82M0013-E-2005-c3-1-main-file::CCCE_131, [CCC_131]",cat,1,2,Cancer,Cancer,N/A,1,1,1:1,"[,]",Yes (Do you have cancer?),0,Cancer,Do you have cancer,
,ActiveCancer_cat,CCC_131,CCC_131_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_131, cchs-82M0013-E-2003-c2-1-General File::CCCC_131,  cchs-82M0013-E-2005-c3-1-main-file::CCCE_131, [CCC_131]",cat,2,2,No Cancer,No Cancer,N/A,2,2,2:2,"[,]",No (Do you have cancer?),1,Cancer,Do you have cancer,
,ActiveCancer_cat,CCC_131,CCC_131_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_131, cchs-82M0013-E-2003-c2-1-General File::CCCC_131,  cchs-82M0013-E-2005-c3-1-main-file::CCCE_131, [CCC_131]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,Cancer,Do you have cancer,
,Diabetes_cat,CCC_101,CCC_101_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_101, cchs-82M0013-E-2003-c2-1-General File::CCCC_101,  cchs-82M0013-E-2005-c3-1-main-file::CCCE_101, [CCC_101]",cat,1,2,Diabetes,Diabetes,N/A,1,1,1:1,"[,]",Yes (Do you have diabetes?),0,Diabetes,Do you have diabetes,
,Diabetes_cat,CCC_101,CCC_101_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_101, cchs-82M0013-E-2003-c2-1-General File::CCCC_101,  cchs-82M0013-E-2005-c3-1-main-file::CCCE_101, [CCC_101]",cat,2,2,No Diabetes,No Diabetes,N/A,2,2,2:2,"[,]",No (Do you have diabetes?),1,Diabetes,Do you have diabetes,
,Diabetes_cat,CCC_101,CCC_101_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_101, cchs-82M0013-E-2003-c2-1-General File::CCCC_101,  cchs-82M0013-E-2005-c3-1-main-file::CCCE_101, [CCC_101]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,Diabetes,Do you have diabetes,
,HeartDis_cat,CCC_121,CCC_121_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_121, cchs-82M0013-E-2003-c2-1-General File::CCCC_121, cchs-82M0013-E-2005-c3-1-main-file::CCCE_121, [CCC_121]",cat,1,2,Heart Disease,Heart Disease,N/A,1,1,1:1,"[,]",Yes (Do you have heart disease?),0,Heart Disease,Do you have heart disease,
,HeartDis_cat,CCC_121,CCC_121_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_121, cchs-82M0013-E-2003-c2-1-General File::CCCC_121, cchs-82M0013-E-2005-c3-1-main-file::CCCE_121, [CCC_121]",cat,2,2,No Heart Disease,No Heart Disease,N/A,2,2,2:2,"[,]",No (Do you have heart disease?),1,Heart Disease,Do you have heart disease,
,HeartDis_cat,CCC_121,CCC_121_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_121, cchs-82M0013-E-2003-c2-1-General File::CCCC_121, cchs-82M0013-E-2005-c3-1-main-file::CCCE_121, [CCC_121]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,Heart Disease,Do you have heart disease,
,Stroke_cat,CCC_151,CCC_151_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_151, cchs-82M0013-E-2003-c2-1-General File::CCCC_151, cchs-82M0013-E-2005-c3-1-main-file::CCCE_151,  [CCC_151]",cat,1,2,Stroke,Stroke,N/A,1,1,1:1,"[,]",Yes (Do you suffer from the effects of stroke?),0,Stroke,Do you suffer from effects of stroke,
,Stroke_cat,CCC_151,CCC_151_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_151, cchs-82M0013-E-2003-c2-1-General File::CCCC_151, cchs-82M0013-E-2005-c3-1-main-file::CCCE_151,  [CCC_151]",cat,2,2,No Stroke,No Stroke,N/A,2,2,2:2,"[,]",No (Do you suffer from the effects of stroke?),1,Stroke,Do you suffer from effects of stroke,
,Stroke_cat,CCC_151,CCC_151_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_151, cchs-82M0013-E-2003-c2-1-General File::CCCC_151, cchs-82M0013-E-2005-c3-1-main-file::CCCE_151,  [CCC_151]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,Stroke,Do you suffer from effects of stroke,
,Hypertension_cat,CCC_071,CCC_071_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_071, cchs-82M0013-E-2003-c2-1-General File::CCCC_071, cchs-82M0013-E-2005-c3-1-main-file::CCCE_071, [CCC_071]",cat,1,2,Hypertension,Hypertension,N/A,1,1,1:1,"[,]",Yes (Do you have high blood pressure?),0,Hypertension,Do you have high blood pressure,
,Hypertension_cat,CCC_071,CCC_071_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_071, cchs-82M0013-E-2003-c2-1-General File::CCCC_071, cchs-82M0013-E-2005-c3-1-main-file::CCCE_071, [CCC_071]",cat,2,2,No Hypertension,No Hypertension,N/A,2,2,2:2,"[,]",No (Do you have high blood pressure?),1,Hypertension,Do you have high blood pressure,
,Hypertension_cat,CCC_071,CCC_071_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_071, cchs-82M0013-E-2003-c2-1-General File::CCCC_071, cchs-82M0013-E-2005-c3-1-main-file::CCCE_071, [CCC_071]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,Hypertension,Do you have high blood pressure,
,Mood_cat,CCC_280,CCC_280_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::CCCC_280, cchs-82M0013-E-2005-c3-1-main-file::CCCE_280, [CCC_280]",cat,1,2,Has a mood disorder,Has a mood disorder,N/A,1,1,1:1,"[,]",Yes (Do you have a mood disorder?),0,Mood disorder,Do you have a mood disorder,
,Mood_cat,CCC_280,CCC_280_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::CCCC_280, cchs-82M0013-E-2005-c3-1-main-file::CCCE_280, [CCC_280]",cat,2,2,Does not have a mood disorder,Does not have a mood disorder,N/A,2,2,2:2,"[,]",No (Do you have a mood disorder?),1,Mood disorder,Do you have a mood disorder,
,Mood_cat,CCC_280,CCC_280_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::CCCC_280, cchs-82M0013-E-2005-c3-1-main-file::CCCE_280, [CCC_280]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,Mood disorder,Do you have a mood disorder,
,COPDEmphys_cat,CCC_091,CCC_091_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_91B, cchs-82M0013-E-2003-c2-1-General File::CCCC_91B, [CCC_091]",cat,1,2,COPD/emphysema,COPD/emphysema,N/A,1,1,1:1,"[,]","Yes (Do you have COPD(eg bronchitis,emphysema)?)",0,COPD/emphysema,"Do you have COPD(eg bronchitis,emphysema)",
,COPDEmphys_cat,CCC_091,CCC_091_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_91B, cchs-82M0013-E-2003-c2-1-General File::CCCC_91B, [CCC_091]",cat,2,2,No COPD/emphysema,No COPD/emphysema,N/A,2,2,2:2,"[,]","No (Do you have COPD(eg bronchitis,emphysema)?)",1,COPD/emphysema,"Do you have COPD(eg bronchitis,emphysema)",
,COPDEmphys_cat,CCC_091,CCC_091_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_91B, cchs-82M0013-E-2003-c2-1-General File::CCCC_91B, [CCC_091]",cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),0,COPD/emphysema,"Do you have COPD(eg bronchitis,emphysema)",
,Emphys_cat,CCC_91E,CCC_91E_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent","cchs-82M0013-E-2005-c3-1-main-file::CCCE_91E, cchs-E-2007-2008-AnnualComponent::CCC_91E",cat,1,2,Emphysema,Emphysema,N/A,1,1,1:1,,Yes (Do you have emphysema?),0,emphysema,Do you have emphysema?,
,Emphys_cat,CCC_91E,CCC_91E_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent","cchs-82M0013-E-2005-c3-1-main-file::CCCE_91E, cchs-E-2007-2008-AnnualComponent::CCC_91E",cat,2,2,No emphysema,No emphysema,N/A,2,2,2:2,,No (Do you have emphysema?),1,emphysema,Do you have emphysema?,
,Emphys_cat,CCC_91E,CCC_91E_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent","cchs-82M0013-E-2005-c3-1-main-file::CCCE_91E, cchs-E-2007-2008-AnnualComponent::CCC_91E",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),0,emphysema,Do you have emphysema?,
,COPD_cat,CCC_91F,CCC_91F_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent","cchs-82M0013-E-2005-c3-1-main-file::CCCE_91F, cchs-E-2007-2008-AnnualComponent::CCC_91F",cat,1,2,COPD,COPD,N/A,1,1,1:1,,Yes (Do you have COPD?),0,COPD,Do you have COPD?,
,COPD_cat,CCC_91F,CCC_91F_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent","cchs-82M0013-E-2005-c3-1-main-file::CCCE_91F, cchs-E-2007-2008-AnnualComponent::CCC_91F",cat,2,2,No COPD,No COPD,N/A,2,2,2:2,,No (Do you have COPD?),1,COPD,Do you have COPD?,
,COPD_cat,CCC_91F,CCC_91F_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent","cchs-82M0013-E-2005-c3-1-main-file::CCCE_91F, cchs-E-2007-2008-AnnualComponent::CCC_91F",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),0,COPD,Do you have COPD?,
,Epilepsy_cat,CCC_111,CCC_111_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file","cchs-82M0013-E-2001-c1-1-general-file::CCCA_111, cchs-82M0013-E-2003-c2-1-General File::CCCC_111, cchs-82M0013-E-2005-c3-1-main-file::CCCE_111",cat,1,2,Epilepsy,Epilepsy,N/A,1,1,1:1,"[,]",Yes (Do you have epilepsy?),0,Epilepsy,Do you have epilepsy?,
,Epilepsy_cat,CCC_111,CCC_111_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file","cchs-82M0013-E-2001-c1-1-general-file::CCCA_111, cchs-82M0013-E-2003-c2-1-General File::CCCC_111, cchs-82M0013-E-2005-c3-1-main-file::CCCE_111",cat,2,2,No Epilepsy,No Epilepsy,N/A,2,2,2:2,"[,]",No (Do you have epilepsy?),1,Epilepsy,Do you have epilepsy?,
,Epilepsy_cat,CCC_111,CCC_111_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file","cchs-82M0013-E-2001-c1-1-general-file::CCCA_111, cchs-82M0013-E-2003-c2-1-General File::CCCC_111, cchs-82M0013-E-2005-c3-1-main-file::CCCE_111",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Epilepsy,Do you have epilepsy?,
,BowelDisorder_cat,CCC_171,CCC_171_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_171, cchs-82M0013-E-2003-c2-1-General File::CCCC_171, cchs-82M0013-E-2005-c3-1-main-file::CCCE_171, [CCC_171]",cat,1,2,Bowel disorder,Bowel disorder,N/A,1,1,1:1,,Yes (Do you have a bowel disorder?),,Bowel disorder,Do you have a bowel disorder such as Crohn's Disease or colitis?,
,BowelDisorder_cat,CCC_171,CCC_171_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_171, cchs-82M0013-E-2003-c2-1-General File::CCCC_171, cchs-82M0013-E-2005-c3-1-main-file::CCCE_171, [CCC_171]",cat,2,2,No bowel disorder,No bowel disorder,N/A,2,2,2:2,,No (Do you have a bowel disorder?),,Bowel disorder,Do you have a bowel disorder such as Crohn's Disease or colitis?,
,BowelDisorder_cat,CCC_171,CCC_171_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_171, cchs-82M0013-E-2003-c2-1-General File::CCCC_171, cchs-82M0013-E-2005-c3-1-main-file::CCCE_171, [CCC_171]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Bowel disorder,Do you have a bowel disorder such as Crohn's Disease or colitis?,
,ChronicFatigue_cat,CCC_251,CCC_251_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_251, cchs-82M0013-E-2003-c2-1-General File::CCCC_251, cchs-82M0013-E-2005-c3-1-main-file::CCCE_251, [CCC_251]",cat,1,2,Chronic fatigue,Chronic fatigue,N/A,1,1,1:1,,Yes (Do you have chronic fatigue syndrome?),,Chronic fatigue syndrome,Do you have chronic fatigue syndrome?,
,ChronicFatigue_cat,CCC_251,CCC_251_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_251, cchs-82M0013-E-2003-c2-1-General File::CCCC_251, cchs-82M0013-E-2005-c3-1-main-file::CCCE_251, [CCC_251]",cat,2,2,No chronic fatigue,No chronic fatigue,N/A,2,2,2:2,,No (Do you have chronic fatigue syndrome?),,Chronic fatigue syndrome,Do you have chronic fatigue syndrome?,
,ChronicFatigue_cat,CCC_251,CCC_251_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::CCCA_251, cchs-82M0013-E-2003-c2-1-General File::CCCC_251, cchs-82M0013-E-2005-c3-1-main-file::CCCE_251, [CCC_251]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Chronic fatigue syndrome,Do you have chronic fatigue syndrome?,
